"location","date","A (Lineage)","AZ (Lineage)","Alpha (WHO VOC)","Alpha - Q.1 (WHO VOC)","Alpha - Q.7 (WHO VOC)","B (Lineage)","B.1.1.277 - 20B/S:626S","B.1.1.523 (WHO AFM)","B.1.160 - 20A/EU2","B.1.177 - 20E/EU1","B.1.221 - 20A/S:98F","B.1.258 - 20A/S:439K","B.1.619 (WHO AFM)","Beta (WHO VOC)","C (Lineage)","C.36 (ECDC VUM)","C.36.3 (WHO AFM)","Delta (WHO VOC)","Delta - AY.1 (WHO VOC)","Delta - AY.2 (WHO VOC)","Delta - AY.3 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.5 (WHO VOC)","Delta - AY.6 (WHO VOC)","Delta - AY.7 (WHO VOC)","Delta - AY.9 (WHO VOC)","Gamma (WHO VOC)","Iota (WHO AFM)","Kappa (WHO AFM)","Lambda (WHO VOI)","M (Lineage)","Mu - 21H (WHO VOI)","N (Lineage)","Other","R.1 (WHO AFM)"
"Slovakia","2021-04-04","0,0","0,0","97,21407624633432","0,0","0,0","1,1730205278592376","0,0","0,0","0,1466275659824047","0,1466275659824047","0,0","0,1466275659824047","0,0","0,2932551319648094","0,0","0,1466275659824047","0,0","0,0","0,0","0,0","0,0","0,1466275659824047","0,0","0,0","0,0","0,0","0,2932551319648094","0,0","0,0","0,0","0,0","0,0","0,0","0,1466275659824047","0,1466275659824047"
"Slovakia","2021-04-18","0,0","0,0","94,55445544554455","0,0","0,0","0,33003300330033003","0,0","0,0","0,33003300330033003","0,0","0,0","0,0","0,0","0,9900990099009901","0,16501650165016502","0,0","0,0","0,49504950495049505","0,0","0,0","0,16501650165016502","1,8151815181518154","0,0","0,0","0,0","0,16501650165016502","0,33003300330033003","0,0","0,0","0,0","0,0","0,0","0,33003300330033003","0,33003300330033003","0,0"
"Slovakia","2021-05-02","0,0","0,0","97,67441860465115","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,6644518272425249","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,33222591362126247","0,33222591362126247","0,0","0,33222591362126247","0,33222591362126247","0,33222591362126247","0,0"
"Slovakia","2021-05-16","0,0","0,0","99,02912621359224","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,3236245954692557","0,0","0,0","0,0","0,3236245954692557","0,3236245954692557","0,0","0,0"
"Slovakia","2021-05-30","0,0","0,0","97,55043227665706","0,1440922190201729","0,1440922190201729","0,0","0,0","0,1440922190201729","0,0","0,0","0,0","0,0","0,1440922190201729","0,2881844380403458","0,0","0,0","0,1440922190201729","0,0","0,1440922190201729","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,2968299711815563","0,0","0,0","0,0"
"Slovakia","2021-06-13","0,0","0,0","97,57009345794393","0,3738317757009346","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,3738317757009346","0,0","0,0","0,5607476635514018","0,7476635514018692","0,0","0,0","0,0","0,1869158878504673","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1869158878504673","0,0"
"Slovakia","2021-06-27","0,0","0,0","85,71428571428571","0,8163265306122449","0,0","0,40816326530612246","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,40816326530612246","0,0","0,0","1,2244897959183674","7,755102040816326","0,0","0,0","0,40816326530612246","2,4489795918367347","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,8163265306122449","0,0"
"Slovakia","2021-07-11","0,0","1,0471204188481675","42,40837696335078","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","22,5130890052356","0,5235602094240838","1,0471204188481675","0,0","29,84293193717277","0,5235602094240838","0,0","0,0","2,094240837696335","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Slovakia","2021-07-25","0,37593984962406013","0,0","7,518796992481203","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","30,451127819548873","0,37593984962406013","1,8796992481203008","1,1278195488721803","45,86466165413533","2,631578947368421","0,0","1,5037593984962405","7,894736842105263","0,0","0,0","0,0","0,0","0,0","0,37593984962406013","0,0","0,0","0,0"
"Slovakia","2021-08-08","0,0","0,0","1,084010840108401","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","38,75338753387534","0,27100271002710025","1,6260162601626018","3,523035230352303","37,39837398373984","0,0","0,0","0,0","17,344173441734416","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Slovakia","2021-08-22","0,0","0,0","0,3616636528028933","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","45,56962025316456","0,7233273056057866","1,0849909584086799","1,9891500904159132","35,98553345388788","0,3616636528028933","0,7233273056057866","0,7233273056057866","12,47739602169982","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"Slovakia","2021-09-05","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","34,56973293768546","0,8902077151335311","6,083086053412463","1,3353115727002967","49,25816023738873","0,44510385756676557","0,2967359050445104","0,5934718100890208","6,379821958456973","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1483679525222552","0,0"
"Slovakia","2021-09-19","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","65,359477124183","0,0","2,6143790849673203","0,0","22,875816993464053","1,3071895424836601","0,0","0,6535947712418301","7,18954248366013","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
