"location","date","AH (Lineage)","AY (Lineage)","B (Lineage)","B.1.160 - 20A/EU2","BC (Lineage)","BD (Lineage)","Beta - B.1.351 (WHO PVOC)","Delta - AY.122 (WHO PVOC)","Delta - AY.43 (WHO PVOC)","Delta - AY.73 (WHO PVOC)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.17 (WHO VOC)","Omicron - BA.1.18 (WHO VOC)","Q (Lineage)","Other"
"Madagascar","2020-10-04","28,57142857142857","0,0","71,42857142857143","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Madagascar","2020-10-18","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Madagascar","2020-11-01","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Madagascar","2020-11-15","22,22222222222222","0,0","61,111111111111114","11,11111111111111","0,0","0,0","5,555555555555555","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Madagascar","2020-11-29","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Madagascar","2020-12-13","8,333333333333332","0,0","91,66666666666666","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Madagascar","2020-12-27","5,88235294117647","0,0","94,11764705882352","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Madagascar","2021-01-10","4,3478260869565215","0,0","95,65217391304348","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Madagascar","2021-01-24","8,108108108108109","0,0","89,1891891891892","2,7027027027027026","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Madagascar","2021-02-07","15,151515151515152","0,0","84,84848484848484","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Madagascar","2021-02-21","5,263157894736842","0,0","47,368421052631575","0,0","0,0","0,0","47,368421052631575","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Madagascar","2021-03-07","10,714285714285714","0,0","35,714285714285715","0,0","0,0","0,0","53,57142857142857","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Madagascar","2021-03-21","0,0","0,0","12,82051282051282","0,0","0,0","0,0","82,05128205128204","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,128205128205128","0"
"Madagascar","2021-04-04","1,9230769230769231","0,0","9,615384615384617","0,0","0,0","0,0","78,84615384615384","0,0","0,0","0,0","0,0","0,0","0,0","0,0","9,615384615384617","0"
"Madagascar","2021-04-18","0,0","0,0","0,8849557522123894","0,0","0,0","0,0","84,070796460177","0,0","0,0","0,0","0,0","0,0","0,0","0,0","15,04424778761062","0"
"Madagascar","2021-05-02","0,0","0,0","0,0","0,0","0,0","0,0","93,75","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,25","0"
"Madagascar","2021-05-16","0,0","0,0","0,0","0,0","0,0","0,0","87,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","12,5","0"
"Madagascar","2021-05-30","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Madagascar","2021-07-11","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Madagascar","2021-07-25","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Madagascar","2021-10-03","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0"
"Madagascar","2021-10-17","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Madagascar","2021-10-31","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Madagascar","2021-11-14","0,0","0,0","0,0","0,0","0,0","0,0","0,0","87,5","12,5","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Madagascar","2021-11-28","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0"
"Madagascar","2021-12-12","0,0","0,0","0,0","0,0","0,0","0,0","0,0","75,0","0,0","0,0","0,0","0,0","0,0","25,0","0,0","0"
"Madagascar","2021-12-26","0,0","0,0","0,0","0,0","0,0","0,0","0,0","80,0","0,0","0,0","0,0","20,0","0,0","0,0","0,0","0"
"Madagascar","2022-01-09","0,0","0,0","0,0","0,0","0,0","0,0","0,0","50,0","0,0","0,0","0,0","0,0","0,0","50,0","0,0","0"
"Madagascar","2022-01-23","0,0","0,0","0,0","0,0","9,090909090909092","0,0","0,0","0,0","0,0","0,0","0,0","36,36363636363637","36,36363636363637","18,181818181818183","0,0","0"
"Madagascar","2022-02-06","0,0","0,0","0,0","0,0","9,67741935483871","12,903225806451612","0,0","0,0","0,0","0,0","3,225806451612903","41,935483870967744","22,58064516129032","9,67741935483871","0,0","0"
"Madagascar","2022-02-20","0,0","0,0","0,0","0,0","20,0","0,0","0,0","0,0","0,0","0,0","0,0","70,0","10,0","0,0","0,0","0"
"Madagascar","2022-03-06","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0"
